Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
104,26,1,141,6,Some Random Commen with Id 104
105,27,8,166,8,Some Random Commen with Id 105
106,27,8,174,0,Some Random Commen with Id 106
107,27,8,102,2,Some Random Commen with Id 107
108,27,8,112,9,Some Random Commen with Id 108
109,27,8,145,4,Some Random Commen with Id 109
110,28,6,139,7,Some Random Commen with Id 110
111,28,6,60,6,Some Random Commen with Id 111
112,28,6,67,7,Some Random Commen with Id 112
113,28,6,30,6,Some Random Commen with Id 113
114,28,6,124,5,Some Random Commen with Id 114
115,28,6,124,6,Some Random Commen with Id 115
116,28,6,164,2,Some Random Commen with Id 116
117,29,4,149,3,Some Random Commen with Id 117
118,29,4,82,2,Some Random Commen with Id 118
119,30,2,25,0,Some Random Commen with Id 119
120,30,2,178,7,Some Random Commen with Id 120
121,30,2,74,6,Some Random Commen with Id 121
122,31,3,63,4,Some Random Commen with Id 122
123,31,3,83,1,Some Random Commen with Id 123
124,31,3,96,2,Some Random Commen with Id 124
125,31,3,192,0,Some Random Commen with Id 125
126,31,3,118,4,Some Random Commen with Id 126
127,31,3,129,2,Some Random Commen with Id 127
128,31,3,68,6,Some Random Commen with Id 128
129,32,8,185,5,Some Random Commen with Id 129
130,32,8,134,7,Some Random Commen with Id 130
131,32,8,64,5,Some Random Commen with Id 131
132,32,8,161,4,Some Random Commen with Id 132
133,32,8,137,0,Some Random Commen with Id 133
134,32,8,81,2,Some Random Commen with Id 134
135,32,8,136,7,Some Random Commen with Id 135
136,32,8,148,2,Some Random Commen with Id 136
137,32,8,58,0,Some Random Commen with Id 137
138,33,7,64,2,Some Random Commen with Id 138
139,34,9,77,0,Some Random Commen with Id 139
140,34,9,146,1,Some Random Commen with Id 140
141,34,9,185,9,Some Random Commen with Id 141
142,35,8,56,1,Some Random Commen with Id 142
143,35,8,102,0,Some Random Commen with Id 143
144,35,8,45,4,Some Random Commen with Id 144
145,35,8,164,6,Some Random Commen with Id 145
146,36,1,22,4,Some Random Commen with Id 146
147,36,1,166,3,Some Random Commen with Id 147
148,36,1,100,6,Some Random Commen with Id 148
149,36,1,175,4,Some Random Commen with Id 149
150,37,3,178,4,Some Random Commen with Id 150
151,37,3,30,7,Some Random Commen with Id 151
152,37,3,53,6,Some Random Commen with Id 152
153,37,3,141,8,Some Random Commen with Id 153
154,38,3,182,7,Some Random Commen with Id 154
155,38,3,138,0,Some Random Commen with Id 155
